Chapter,ChapterTitle,SubChapter,SubChapterTitle,Section,SectionTitle,Subsection,Point,Subpoint,Text,law_name,global_index
2.0,Granting protection,2.0,International protection,3,Recognition of refugee status,(4),0,0,"A foreigner who is a refugee under subsection 1 shall be granted refugee status unless he meets the requirements of Section 60 (8), first sentence, of the Residence Act or the Federal Office has decided not to apply Section 60 (1) of the Residence Act pursuant to Section 60 (8), third sentence, of the Residence Act.",Asylum,21
2.0,Granting protection,2.0,International protection,3a,Acts of persecution,(1),0,0,Acts of persecution within the meaning of Section 3 (1) must,Asylum,22
2.0,Granting protection,2.0,International protection,3a,Acts of persecution,(1),1.0,0,"be sufficiently serious by their nature or repetition as to constitute a severe violation of basic human rights, in particular the rights from which derogation cannot be made under Article 15 (2) of the European Convention for the Protection of Human Rights and Fundamental Freedoms; or",Asylum,23
2.0,Granting protection,2.0,International protection,3a,Acts of persecution,(1),2.0,0,"be an accumulation of various measures, including violations of human rights which is sufficiently severe as to affect an individual in a similar manner as mentioned in no. 1.",Asylum,24
2.0,Granting protection,2.0,International protection,3a,Acts of persecution,(2),0,0,Acts of persecution as referred to in subsection 1 may among others take the form of:,Asylum,25
2.0,Granting protection,2.0,International protection,3a,Acts of persecution,(2),1.0,0,"acts of physical or mental violence, including acts of sexual violence;",Asylum,26
2.0,Granting protection,2.0,International protection,3a,Acts of persecution,(2),2.0,0,"legal, administrative, police or judicial measures which are in themselves discriminatory or which are implemented in a discriminatory manner;",Asylum,27
2.0,Granting protection,2.0,International protection,3a,Acts of persecution,(2),3.0,0,disproportionate or discriminatory prosecution or punishment;,Asylum,28
2.0,Granting protection,2.0,International protection,3a,Acts of persecution,(2),4.0,0,denial of judicial redress resulting in a disproportionate or discriminatory punishment;,Asylum,29
2.0,Granting protection,2.0,International protection,3a,Acts of persecution,(2),5.0,0,"prosecution or punishment for refusal to perform military service in a conflict, where performing military service would include crimes or acts falling under the exclusion clauses as set out in Section 3(2);",Asylum,30
2.0,Granting protection,2.0,International protection,3a,Acts of persecution,(2),6.0,0,acts which are of a gender-specific nature or are directed against children.,Asylum,31
2.0,Granting protection,2.0,International protection,3a,Acts of persecution,(3),0,0,There must be a connection between the grounds for persecution listed in Section 3 (1) no. 1 in conjunction with the grounds for persecution listed in Section 3b and the acts defined as persecution in subsections 1 and 2 or the lack of protection against such acts.,Asylum,32
2.0,Granting protection,2.0,International protection,3b,Grounds for persecution,(1),0,0,"When examining the grounds for persecution as defined in Section 3 (1) no. 1, the following shall be taken into account:",Asylum,33
2.0,Granting protection,2.0,International protection,3b,Grounds for persecution,(1),1.0,0,"the concept of race shall in particular include considerations of skin colour, descent, or membership of a particular ethnic group;",Asylum,34
2.0,Granting protection,2.0,International protection,3b,Grounds for persecution,(1),2.0,0,"the concept of religion shall in particular include the holding of theistic, non-theistic and atheistic beliefs, the participation in, or abstention from, formal worship in private or in public, either alone or in community with others, other religious acts or expressions of views, or forms of personal or communal conduct based on or mandated by any religious belief;",Asylum,35
2.0,Granting protection,2.0,International protection,3b,Grounds for persecution,(1),3.0,0,"the concept of nationality shall not be confined to citizenship or lack thereof but shall in particular include membership of a group determined by its cultural, ethnic, or linguistic identity, common geographical or political origins or its relationship with the population of another state;",Asylum,36
2.0,Granting protection,2.0,International protection,3b,Grounds for persecution,(1),4.0,0,a group shall be considered to form a particular social group where in particular:,Asylum,37
2.0,Granting protection,2.0,International protection,3b,Grounds for persecution,(1),4.0,a),"members of that group share an innate characteristic, or a common background that cannot be changed, or share a characteristic or belief that is so fundamental to identity or conscience that a person should not be forced to renounce it, and",Asylum,38
2.0,Granting protection,2.0,International protection,3b,Grounds for persecution,(1),4.0,b),"that group has a distinct identity in the relevant country, because it is perceived as being different by the surrounding society; a particular social group may include a group based on a common characteristic of sexual orientation; this shall not include acts punishable under German law; if a person is persecuted solely on account of their sex or sexual identity, this may also constitute persecution due to membership of a certain social group.",Asylum,39
2.0,Granting protection,2.0,International protection,3b,Grounds for persecution,(1),5.0,0,"the concept of political opinion shall in particular include the holding of an opinion, thought or belief on a matter related to the potential agents of persecution mentioned in Section 3c and to their policies or methods, irrespective of whether or not the foreigner has acted upon that opinion, thought or belief.",Asylum,40
2.0,Granting protection,2.0,International protection,3b,Grounds for persecution,(2),0,0,"When assessing whether an applicant has a well-founded fear of being persecuted it is immaterial whether the applicant actually possesses the racial, religious, national, social or political characteristic leading to persecution, provided that the agent of persecution attributes such a characteristic to the applicant.",Asylum,41
2.0,Granting protection,2.0,International protection,3c,Agents of persecution,0,0,0,Agents of persecution may include:,Asylum,42
2.0,Granting protection,2.0,International protection,3c,Agents of persecution,0,1.0,0,"the state,",Asylum,43
2.0,Granting protection,2.0,International protection,3c,Agents of persecution,0,2.0,0,"parties or organizations which control the state or substantial parts of the national territory, or",Asylum,44
2.0,Granting protection,2.0,International protection,3c,Agents of persecution,0,3.0,0,"non-state agents, if the agents referred to under nos. 1 and 2, including international organizations, are demonstrably unable or unwilling to offer protection from the persecution within the meaning of Section 3d, irrespective of whether a power exercising state rule exists in the country.",Asylum,45
2.0,Granting protection,2.0,International protection,3d,Agents of protection,(1),0,0,Protection against persecution can only be provided by,Asylum,46
2.0,Granting protection,2.0,International protection,3d,Agents of protection,(1),1.0,0,the state or,Asylum,47
2.0,Granting protection,2.0,International protection,3d,Agents of protection,(1),2.0,0,"parties or organizations, including international organizations, controlling the state or a substantial part of the territory of the state, to the extent that they are willing and able to provide protection as defined in subsection 2.",Asylum,48
2.0,Granting protection,2.0,International protection,3d,Agents of protection,(2),0,0,"The protection against persecution must be effective and not of a temporary nature. Protection is generally provided when the agents mentioned in subsection 1 take reasonable steps to prevent the persecution, for instance by operating an effective legal system for the investigation, prosecution and punishment of acts constituting persecution or serious harm, and the applicant has access to such protection.",Asylum,49
2.0,Granting protection,2.0,International protection,3d,Agents of protection,(3),0,0,"When assessing whether an international organization controls a state or a substantial part of its territory and provides protection as described in subsection 2, any guidance which may be provided in relevant legal acts adopted by the European Union are to be taken into account.",Asylum,50
2.0,Granting protection,2.0,International protection,3e,Internal protection,(1),0,0,A foreigner shall not be granted refugee status,Asylum,51
2.0,Granting protection,2.0,International protection,3e,Internal protection,(1),1.0,0,if he does not have a well-founded fear of persecution or has access to protection against persecution under Section 3d in a part of his country of origin and,Asylum,52
2.0,Granting protection,2.0,International protection,3e,Internal protection,(1),2.0,0,"if he can safely and lawfully travel to this part of the country, will be admitted there and can reasonably be expected to settle there.",Asylum,53
2.0,Granting protection,2.0,International protection,3e,Internal protection,(2),0,0,"In examining whether a part of the country of origin meets the conditions in subsection 1, the authorities shall, when deciding on the application, take into account the general circumstances prevailing in that part of the country and the personal circumstances of the applicant in accordance with Article 4 of Directive 2011/95/EU. To this end, detailed and accurate information from relevant sources such as the United Nations High Commissioner for Refugees or the European Asylum Support Office shall be obtained.",Asylum,54
2.0,Granting protection,2.0,International protection,4,Subsidiary protection,(1),0,0,A foreigner shall be eligible for subsidiary protection if he has shown substantial grounds for believing that he would face a real risk of suffering serious harm in his country of origin. Serious harm consists of:,Asylum,55
2.0,Granting protection,2.0,International protection,4,Subsidiary protection,(1),1.0,0,"death penalty or execution,",Asylum,56
2.0,Granting protection,2.0,International protection,4,Subsidiary protection,(1),2.0,0,"torture or inhuman or degrading treatment or punishment, or",Asylum,57
2.0,Granting protection,2.0,International protection,4,Subsidiary protection,(1),3.0,0,serious and individual threat to a civilian's life or person by reason of indiscriminate violence in situations of international or internal armed conflict.,Asylum,58
2.0,Granting protection,2.0,International protection,4,Subsidiary protection,(2),0,0,"A foreigner shall not be eligible for subsidiary protection pursuant to subsection 1, if there are serious grounds to believe that he",Asylum,59
2.0,Granting protection,2.0,International protection,4,Subsidiary protection,(2),1.0,0,"has committed a crime against peace, a war crime or a crime against humanity within the meaning of the international instruments which have been drawn up for the purpose of establishing provisions regarding such crimes,",Asylum,60
2.0,Granting protection,2.0,International protection,4,Subsidiary protection,(2),2.0,0,"has committed a serious crime,",Asylum,61
2.0,Granting protection,2.0,International protection,4,Subsidiary protection,(2),3.0,0,"is guilty of acts contrary to the objectives and principles of the United Nations, as enshrined in the Preamble and Articles 1 and 2 of the Charter of the United Nations (Federal Law Gazette 1973 II, pp. 430, 431), or",Asylum,62
2.0,Granting protection,2.0,International protection,4,Subsidiary protection,(2),4.0,0,represents a risk to the general public or to the security of the Federal Republic of Germany. These grounds for exclusion shall apply also to foreigners who incite others to commit the crimes or acts listed above or are otherwise involved in such crimes or acts.,Asylum,63
2.0,Granting protection,2.0,International protection,4,Subsidiary protection,(3),0,0,"Sections 3c to 3e shall apply accordingly. Persecution, fear of persecution or the well-founded fear of persecution shall be replaced by the fear of serious harm, the protection against serious harm or the real risk of serious harm; the refugee status shall be replaced by subsidiary protection.",Asylum,64
3.0,General information,0,,5,Federal Office,(1),0,0,"The Federal Office for Migration and Refugees (Federal Office) shall decide on asylum applications. In accordance with this Act, the Federal Office shall also be responsible for measures and decisions taken under foreigners law.",Asylum,65
3.0,General information,0,,5,Federal Office,(2),0,0,The Federal Ministry of the Interior shall appoint the head of the Federal Office. He shall ensure the proper organization of asylum proceedings.,Asylum,66
3.0,General information,0,,5,Federal Office,(3),0,0,"In consultation with the respective Land, the head of the Federal Office should set up a branch office at each Central Reception Facility for Asylum Applicants (reception centre) with a capacity to accommodate 1000 persons or more on a long-term basis. He may set up additional branch offices in consultation with the Lï¿½nder.",Asylum,67
3.0,General information,0,,5,Federal Office,(4),0,0,The head of the Federal Office may arrange with the Lï¿½nder to supply the necessary material and personnel resources in order to fulfil his duties in the branch offices. The staff supplied shall be bound to the same extent as the staff of the Federal Office by his technical instructions. The details shall be governed by means of an administrative agreement between the Federation and the Land.,Asylum,68
3.0,General information,0,,5,Federal Office,(5),0,0,"The head of the Federal Office may arrange with the Lï¿½nder for reception centres to host foreigners coming under fast track procedures pursuant to Section 30a (special reception centres). The Federal Office shall set up branch offices at these special reception offices pursuant to the first sentence or assign branch offices to them. Special reception centres shall be governed by the same rules as reception centres, unless this Act or other legal provisions stipulate otherwise.",Asylum,69
3.0,General information,0,,6,Binding effect of decisions under asylum law,0,0,0,Decisions on asylum applications shall be binding in all matters in which the recognition as being entitled to asylum or to international protection as defined by Section 1 (1) no. 2.are relevant in law. This shall not apply to extradition procedures or to procedures pursuant to Section 58a of the Residence Act.,Asylum,70
3.0,General information,0,,7,Collection of personal data,(1),0,0,"The authorities responsible for implementing this Act may, for the purpose of implementing this Act, collect personal data as far as necessary to fulfil their duties. Data within the meaning of Section 3 (9) of the Federal Data Protection Act and corresponding provisions in the data protection acts of the Lï¿½nder may be collected insofar as needed in individual cases to fulfil duties.",Asylum,71
3.0,General information,0,,7,Collection of personal data,(2),0,0,"The data shall be collected from the data subject. They may also be collected from other public authorities, foreign authorities and non-public agencies without involving the data subject if",Asylum,72
3.0,General information,0,,7,Collection of personal data,(2),1.0,0,this is allowed or expressly required by this Act or another legal provision;,Asylum,73
3.0,General information,0,,7,Collection of personal data,(2),2.0,0,it is obviously in the interest of the data subject and there is no reason to assume that he would refuse his consent if he were aware of his personal data being collected;,Asylum,74
3.0,General information,0,,7,Collection of personal data,(2),3.0,0,the cooperation of the data subject is not sufficient or would require an unreasonable effort;,Asylum,75
3.0,General information,0,,7,Collection of personal data,(2),4.0,0,"the task at hand, by its very nature, makes it necessary to collect data from other persons or agencies or",Asylum,76
3.0,General information,0,,7,Collection of personal data,(2),5.0,0,"it is necessary in order to verify information provided by the data subject. Data may only be collected on the basis of sentence 2, nos. 3 and 4 and from foreign authorities or non-public agencies if there are no indications that overriding legitimate interests of the data subject might be affected.",Asylum,77
3.0,General information,0,,7,Collection of personal data,(3),0,0,The asylum procedure files kept by the Federal Office are to be destroyed and deleted in the Office's data management system no later than ten years after the incontestable conclusion of the asylum procedure. This shall not affect the destruction or deletion of such files and data in line with other legal provisions.,Asylum,78
3.0,General information,0,,8,Transmission of personal data,(1),0,0,"Upon request (Section 7 (1)), public authorities shall inform the authorities responsible for the implementation of this Act of any circumstances that have come to their knowledge, provided that this does not conflict with particular legal provisions on the use of such information or with the overriding legitimate interests of the data subject. (1a) If and when criminal proceedings are instituted against data subjects, the authorities responsible for instituting these proceedings are to inform the Federal Office without delay about",Asylum,79
3.0,General information,0,,8,Transmission of personal data,(1),1.0,0,"the fact that public charges have been filed, provided a term of imprisonment of at least three years is expected;",Asylum,80
3.0,General information,0,,8,Transmission of personal data,(1),2.0,0,"the fact that public charges have been brought on account of one or several wilful crimes committed against life, physical integrity, sexual self-determination, property or on account of resisting law enforcement officers, provided the data subject used violence, threatened to endanger the physical integrity of individuals, or acted fraudulently, and provided a term of imprisonment or youth custody of at least three years is expected; and",Asylum,81
3.0,General information,0,,8,Transmission of personal data,(1),3.0,0,the completion of criminal proceedings,Asylum,82
3.0,General information,0,,8,Transmission of personal data,(1),3.0,a),"through an incontestable sentence to a term of imprisonment of at least three years,",Asylum,83
3.0,General information,0,,8,Transmission of personal data,(1),3.0,b),"through an incontestable sentence to a term of imprisonment or youth custody of at least one year on account of one several wilful crimes committed against life, physical integrity, sexual self-determination, property or of resisting law enforcement officers, provided the data subject used violence, threatened to endanger the physical integrity of individuals, or acted fraudulently;",Asylum,84
3.0,General information,0,,8,Transmission of personal data,(1),3.0,c),"in any other way, provided the responsible bodies informed the Federal Office pursuant to nos. 1 or 2 beforehand. (1b) The supreme Land authority or the body designated by it may transmit the personal information about a foreigner's physical, psychological, mental or sensory impairment which the Federal Office needs to duly carry out the hearing. The data may only be used for this purpose and are to be deleted afterwards.",Asylum,85
3.0,General information,0,,8,Transmission of personal data,(2),0,0,"The competent authorities shall immediately inform the Federal Office of any formal extradition request submitted by a foreign state and any request for arrest received in conjunction with the announcement of an extradition request and of the conclusion of the extradition procedure, if the foreigner concerned has filed an asylum application. (2a) The authorities entrusted with implementing this Act shall inform the competent authorities under Section 10 of the Act on Benefits for Asylum Applicants of any circumstances or measures under this Act that are required for the payment of benefits to those entitled to benefits under the Act on Benefits for Asylum Applicants as well as of any work permits granted to these persons that said authorities have been informed of and information on the expiry, revocation or rescinding of work permits.",Asylum,86
3.0,General information,0,,8,Transmission of personal data,(3),0,0,"The data collected under this Act may, for the purposes of enforcing the Residence Act and for the health care of asylum applicants as well as for criminal prosecution measures and, upon request, for the prosecution of administrative offences, be transmitted to the public bodies in charge of these measures and be processed and used by them, as far as this is necessary for them to perform the tasks for which they are responsible. The data may be transmitted to the bodies mentioned in Section 35 (1) of the Social Code, Book I, and processed and used by them as far as necessary to identify and prosecute the unjustified receipt of benefits under the Social Code, Book XII, of health and accident insurance benefits or of unemployment benefits or subsistence benefits under the Social Code, Book II, and where there are actual indications as to such unjustified receipt of benefits. The data collected under this Act may be transmitted to and processed and used by the Federal Employment Agency to the extent that this is necessary for it to fulfil its tasks pursuant to the Social Code, Book III. Section 88 (1) to (3) of the Residence Act shall apply accordingly.",Asylum,87
3.0,General information,0,,8,Transmission of personal data,(4),0,0,"The data recorded during the asylum procedure may be transmitted and processed to the extent necessary for a decision by the Federal Office to admit the data subject to an integration course pursuant to Section 44 (4) of the Residence Act or to job-related language training pursuant to Section 45 (2), third and fourth sentences, of the Residence Act.",Asylum,88
3.0,General information,0,,8,Transmission of personal data,(5),0,0,The transmission of data on the basis of other legal regulations shall remain unaffected.,Asylum,89
3.0,General information,0,,8,Transmission of personal data,(6),0,0,The provision in Section 20 (5) of the Federal Data Protection Act and corresponding provisions in the data protection acts of the Lï¿½nder shall not apply.,Asylum,90
3.0,General information,0,,9,United Nations High Commissioner for Refugees,(1),0,0,"The foreigner may contact the United Nations High Commissioner for Refugees (UNHCR). The UNHCR may present his views regarding individual applications for asylum to the Federal Office. The UNHCR may have access to foreigners, including those in detention and in airport transit zones.",Asylum,91
3.0,General information,0,,9,United Nations High Commissioner for Refugees,(2),0,0,"At the request of the UNHCR, the Federal Office shall provide the UNHCR with the information necessary to fulfil his tasks under Article 35 of the Convention relating to the status of refugees.",Asylum,92
3.0,General information,0,,9,United Nations High Commissioner for Refugees,(3),0,0,"Decisions on asylum applications and other information, in particular the grounds for persecution given, may, unless presented in an anonymous form, be transmitted only if the foreigner himself has applied to the UNHCR or if the foreignerï¿½s consent is otherwise documented.",Asylum,93
3.0,General information,0,,9,United Nations High Commissioner for Refugees,(4),0,0,The data may be used only for the purpose for which they were transmitted.,Asylum,94
3.0,General information,0,,9,United Nations High Commissioner for Refugees,(5),0,0,Subsections (1) to (4) shall apply accordingly to organizations acting by order of the UNHCR on the federal territory on the basis of an agreement with the Federal Republic of Germany.,Asylum,95
3.0,General information,0,,10,Provisions concerning delivery,(1),0,0,"During the asylum procedure, the foreigner shall ensure that communications of the Federal Office, the responsible foreigners authority and any court he has resorted to can reach him at all times; in particular, he shall inform the aforementioned agencies of any change of address without delay.",Asylum,96
3.0,General information,0,,10,Provisions concerning delivery,(2),0,0,"The foreigner shall accept any notifications and informal communications at the most recent address indicated in his asylum application or of which he informed the agency in question if he has neither appointed an authorized representative nor designated an authorized receiving agent for the procedure or if notifications or communications cannot be delivered to these. The same shall apply if the last known address at which the foreigner resides or is required to reside, has been communicated by a public agency. The foreigner shall accept notifications and informal communications of public bodies other than those listed in (1) which are mailed to the address at which he shall accept notifications and informal communications of the Federal Office pursuant to the first and second sentences above. If the communication cannot be delivered, it shall be regarded as having been delivered at the time of mailing even if the communication is returned as undeliverable.",Asylum,97
3.0,General information,0,,10,Provisions concerning delivery,(3),0,0,"Where family members as defined in Section 26 (1) to (3) have applied for asylum jointly and where the same address is valid for all family members pursuant to subsection 2, certain decisions and communications for them may be combined in one notice or one communication and delivered to one family member of full legal age. The address shall list all family members of full legal age to whom the decision or the communication is addressed. The decision or communication shall explicitly state to whom it applies.",Asylum,98
3.0,General information,0,,10,Provisions concerning delivery,(4),0,0,"A reception centre shall deliver any notification and informal communication sent to the address of the reception centre to those foreigners who, under subsection 2 above, shall accept such notifications and informal communications. Mail delivery and distribution hours for each working day shall be publicly displayed. The foreigner shall ensure that incoming mail can be given to him at the reception centre within the mail delivery and distribution hours. On being given to the foreigner, any notification and informal communication shall be delivered; in other cases they shall be regarded as having been delivered three days after being delivered to the reception centre.",Asylum,99
3.0,General information,0,,10,Provisions concerning delivery,(5),0,0,Provisions on substituted delivery shall remain unaffected.,Asylum,100
3.0,General information,0,,10,Provisions concerning delivery,(6),0,0,"Should it be necessary for a communication to be delivered outside the federal territory, delivery shall be made by public notice. The provisions of Section 10 (1) sentences 2 and 3 and (2) shall apply.",Asylum,101
3.0,General information,0,,10,Provisions concerning delivery,(7),0,0,"At the time of application, the foreigner shall be informed of these service provisions in writing and the foreigner shall acknowledge the receipt of this information.",Asylum,102
3.0,General information,0,,11,Exclusion of administrative appeals,0,0,0,There shall be no right to to file an administrative appeal against measures and decisions issued in accordance with this Act.,Asylum,103
3.0,General information,0,,11a,Temporary suspension of decisions,0,0,0,"The Federal Ministry of the Interior may temporarily suspend decisions of the Federal Office under this Act for certain countries of origin for up to six months, if the assessment of the asylum and deportation situation requires special clarification. Suspension pursuant to sentence 1 may be extended.",Asylum,104
4.0,Asylum procedures,1.0,General rules of procedure,12,Legal capacity of minors,(1),0,0,"A foreigner who is of full legal age shall be capable of performing procedural actions pursuant to this Act, provided that he or she would not be legally incapacitated in accordance with the Civil Code or would not require supervision and prior approval in this matter.",Asylum,105
4.0,Asylum procedures,1.0,General rules of procedure,12,Legal capacity of minors,(2),0,0,"In applying this Act, the provisions of the Civil Code shall determine whether a foreigner is to be regarded as a minor or an adult. If a foreigner is of age under the law of his home country, his legal capacity and capacity to contract shall remain unaffected.",Asylum,106
4.0,Asylum procedures,1.0,General rules of procedure,12,Legal capacity of minors,(3),0,0,"Except as provided by a contrary decision of the family court, either parent shall be authorized to represent a minor child in the asylum procedure if the other parent does not reside in the federal territory or if his place of residence in the federal territory is not known.",Asylum,107
4.0,Asylum procedures,1.0,General rules of procedure,13,Application for asylum,(1),0,0,"An asylum application shall be deemed to have been made if it is clear from the foreignerï¿½s written, oral or otherwise expressed desire that he is seeking protection in the federal territory from political persecution or that he wishes protection from deportation or other removal to a country where he would be subject to the persecution defined in Section 3 (1) or serious harm as defined in Section 4 (1).",Asylum,108
4.0,Asylum procedures,1.0,General rules of procedure,13,Application for asylum,(2),0,0,Every application for asylum shall constitute an application for recognition of entitlement to asylum and to international protection within the meaning of Section 1 (1) no. 2. The foreigner may limit the application for asylum to the application for international protection. He shall be informed of the consequences of such limitation. Section 24 (2) shall remain unaffected.,Asylum,109
4.0,Asylum procedures,1.0,General rules of procedure,13,Application for asylum,(3),0,0,Any foreigner who does not have the necessary entry documents shall apply for asylum at the border (Section 18). In the case of unauthorized entry he shall immediately report to a reception centre (Section 22) or apply for asylum with the foreigners authority or with the police (Section 19).,Asylum,110
4.0,Asylum procedures,1.0,General rules of procedure,14,Filing an application for asylum,(1),0,0,"The application for asylum shall be filed at the branch office of the Federal Office assigned to the reception centre responsible for receiving the foreigner. The Federal Office, in consultation with the body designated by the supreme Land authority, may require the foreigner to file his asylum application at another branch office. Before filing the application, the foreigner shall be informed in writing and shall acknowledge receipt of the information that following the withdrawal or incontestable rejection of his application the issuing of a residence title will be subject to restrictions in line with Section 10 (3) of the Residence Act. This information shall be provided without delay in the cases listed in subsection 2, first sentence, no. 2.",Asylum,111
4.0,Asylum procedures,1.0,General rules of procedure,14,Filing an application for asylum,(2),0,0,"The asylum application shall be made at the Federal Office, if the foreigner",Asylum,112
4.0,Asylum procedures,1.0,General rules of procedure,14,Filing an application for asylum,(2),1.0,0,holds a residence title with an overall validity of more than six months;,Asylum,113
4.0,Asylum procedures,1.0,General rules of procedure,14,Filing an application for asylum,(2),2.0,0,"is under arrest or other official custody, in a hospital, a sanatorium or an asylum, or in a youth welfare institution, or",Asylum,114
4.0,Asylum procedures,1.0,General rules of procedure,14,Filing an application for asylum,(2),3.0,0,is a minor and his legal representative is not required to live in a reception centre. The foreigners authority shall immediately transmit any written application it has received to the Federal Office. The Federal Office shall determine the branch office responsible for processing the asylum application.,Asylum,115
4.0,Asylum procedures,1.0,General rules of procedure,14,Filing an application for asylum,(3),0,0,"If, in the case of subsection 2, first sentence, no. 2, the foreigner is in",Asylum,116
4.0,Asylum procedures,1.0,General rules of procedure,14,Filing an application for asylum,(3),1.0,0,"detention pending trial,",Asylum,117
